source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	factor value[organism part]
Hels_Cx1	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140908_JG_03_Hels_Cx1_1	proteomic profiling by mass spectrometry	1	20140908_JG_03_Hels_Cx1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
Hels_Cx1	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140908_JG_04_Hels_Cx1_2	proteomic profiling by mass spectrometry	1	20140908_JG_04_Hels_Cx1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
Hels_Cx1	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140908_JG_05_Hels_Cx1_3	proteomic profiling by mass spectrometry	1	20140908_JG_05_Hels_Cx1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
Hels_Cx1	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140908_JG_06_Hels_Cx1_4	proteomic profiling by mass spectrometry	1	20140908_JG_06_Hels_Cx1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
Hels_Cx1	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140908_JG_07_Hels_Cx1_5	proteomic profiling by mass spectrometry	1	20140908_JG_07_Hels_Cx1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	5	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
Hels_Cx1	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140908_JG_08_Hels_Cx1_6	proteomic profiling by mass spectrometry	1	20140908_JG_08_Hels_Cx1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	6	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
Hels_Cx1	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140908_JG_09_Hels_Cx1_7	proteomic profiling by mass spectrometry	1	20140908_JG_09_Hels_Cx1_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	7	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
Hels_Cx2	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140909_JG_02_Hels_Cx2_1	proteomic profiling by mass spectrometry	1	20140909_JG_02_Hels_Cx2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
Hels_Cx2	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140909_JG_03_Hels_Cx2_2	proteomic profiling by mass spectrometry	1	20140909_JG_03_Hels_Cx2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
Hels_Cx2	Homo sapiens	cerebral cortex	1	not pooled	disease free	tissue	not available	not available	not available	20140909_JG_04_Hels_Cx2_3	proteomic profiling by mass spectrometry	1	20140909_JG_04_Hels_Cx2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	cerebral cortex
