source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
EcoliRep1	Escherichia coli	cell	not available	1	not available	Proteomic profiling	proteomic profiling by mass spectrometry	1	SO-Acetylene_IA-Alkyne_INVIVO_1uM_Ecoli_SO-Acetylene_INVIVO_1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
EcoliRep2	Escherichia coli	cell	not available	2	not available	Proteomic profiling	proteomic profiling by mass spectrometry	1	SO-Acetylene_IA-Alkyne_INVIVO_10uM_Ecoli_SO-Acetylene_INVIVO_2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
EcoliRep3	Escherichia coli	cell	not available	3	not available	Proteomic profiling	proteomic profiling by mass spectrometry	1	SO-Acetylene_IA-Alkyne_INVIVO_100nM_Ecoli_IA-Alkyne_INVIVO_3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
EcoliRep4	Escherichia coli	cell	not available	1	not available	Proteomic profiling	proteomic profiling by mass spectrometry	2	SO-Acetylene_IA-Alkyne_INVIVO_10uM_Ecoli_SO-Acetylene_INVIVO_3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
EcoliRep5	Escherichia coli	cell	not available	2	not available	Proteomic profiling	proteomic profiling by mass spectrometry	2	SO-Acetylene_IA-Alkyne_INVIVO_1uM_Ecoli_SO-Acetylene_INVIVO_3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
EcoliRep6	Escherichia coli	cell	not available	3	not available	Proteomic profiling	proteomic profiling by mass spectrometry	2	SO-Acetylene_IA-Alkyne_INVIVO_10uM_Ecoli_IA-Alkyne_INVIVO_3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
EcoliRep7	Escherichia coli	cell	not available	1	not available	Proteomic profiling	proteomic profiling by mass spectrometry	3	SO-Acetylene_HOCl_Lysate_11_ECOLI_Alkyne-SO-Acetylene_HOCl_2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
EcoliRep8	Escherichia coli	cell	not available	1	not available	Proteomic profiling	proteomic profiling by mass spectrometry	4	SO-Acetylene_IA-Alkyne_INVIVO_10uM_Ecoli_IA-Alkyne_INVIVO_1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
EcoliRep9	Escherichia coli	cell	not available	2	not available	Proteomic profiling	proteomic profiling by mass spectrometry	4	SO-Acetylene_IA-Alkyne_INVIVO_100nM_Ecoli_SO-Acetylene_INVIVO_1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
EcoliRep10	Escherichia coli	cell	not available	3	not available	Proteomic profiling	proteomic profiling by mass spectrometry	4	SO-Acetylene_IA-Alkyne_INVIVO_1uM_Ecoli_SO-Acetylene_INVIVO_2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=HCD	20 ppm	4.5 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
