source name	characteristics[organism]	characteristics[strain/breed]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf template]
Ab125-1	Acinetobacter baumannii	not applicable	not applicable	not applicable	not applicable	1	18355	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	241021_DeVillier_18355_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Ab125-2	Acinetobacter baumannii	not applicable	not applicable	not applicable	not applicable	2	18357	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	241021_DeVillier_18357_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Ab125-3	Acinetobacter baumannii	not applicable	not applicable	not applicable	not applicable	3	18358	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	241021_DeVillier_18358_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Ab139-1	Acinetobacter baumannii	not applicable	not applicable	not applicable	not applicable	4	18359	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	241021_DeVillier_18359_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Ab139-2	Acinetobacter baumannii	not applicable	not applicable	not applicable	not applicable	5	18360	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	241021_DeVillier_18360_130min_2ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Ab139-3	Acinetobacter baumannii	not applicable	not applicable	not applicable	not applicable	6	18356	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001313;NT=Trypsin/P	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	241028_DeVillier_18356_130min_6ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
