source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
Sample 1	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	1	run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_007.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	normal
Sample 2	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	2	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_008.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	normal
Sample 3	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	3	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_009.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	normal
Sample 4	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	4	run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_010.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	normal
Sample 5	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	5	run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_011.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	normal
Sample 6	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	6	run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_014.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	TANGO2
Sample 7	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	7	run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_015.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	TANGO2
Sample 8	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	8	run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_016.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	TANGO2
Sample 9	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	9	run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_017.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	TANGO2
Sample 10	Homo sapiens	not applicable	not applicable	TANGO2 dysfunction	Cal51	not available	not available	10	run 10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20220803_T3_018.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	TANGO2
Sample 11	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	11	run 11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_082.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 12	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	12	run 12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_084.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 13	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	13	run 13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_086.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 14	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	14	run 14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_088.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 15	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	15	run 15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230118_T3_012.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 16	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	16	run 16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230118_T3_014.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 17	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	17	run 17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230118_T3_016.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 18	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	18	run 18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230118_T3_018.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 19	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	19	run 19	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230118_T3_020.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 20	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	20	run 20	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230118_T3_022.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 21	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	21	run 21	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230119_T3_021.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 22	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	22	run 22	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230119_T3_023.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 23	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	23	run 23	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230119_T3_025.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 24	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	24	run 24	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230119_T3_027.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 25	Mus musculus	brain	not applicable	TANGO2 dysfunction	not applicable	not available	male	25	run 25	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230119_T3_029.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD TANGO2
Sample 26	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	26	run 26	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230112_T3_002.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 27	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	27	run 27	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230112_T3_004.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
Sample 28	Mus musculus	heart	not applicable	TANGO2 dysfunction	not applicable	not available	male	28	run 28	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230112_T3_006.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	NCD normal
