source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
12_AO4_12CGlc_Reg_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	12_AO4_12CGlc_Reg_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	12_AO4_12CGlc_Reg_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
11_AO6_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	11_AO6_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	11_AO6_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
02_AO1_13C6Glc_Ctl_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	02_AO1_13C6Glc_Ctl_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	02_AO1_13C6Glc_Ctl_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
10_AO5_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	10_AO5_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	10_AO5_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
01_AO4_12CGlc_Ctl_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	01_AO4_12CGlc_Ctl_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	01_AO4_12CGlc_Ctl_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
09_AO3_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	09_AO3_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	09_AO3_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
16_AO5_13C6Glc_Reg_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	16_AO5_13C6Glc_Reg_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	16_AO5_13C6Glc_Reg_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
15_AO3_13C6Glc_Reg_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	15_AO3_13C6Glc_Reg_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	15_AO3_13C6Glc_Reg_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
08_AO2_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	08_AO2_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	08_AO2_13C6Glc_Prog_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
05_AO5_13C6Glc_Ctl_171016_CWRU_AM_slice_ICMSA	Mus musculus	Aorta	adult	not available	male	1	05_AO5_13C6Glc_Ctl_171016_CWRU_AM_slice_ICMSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	05_AO5_13C6Glc_Ctl_171016_CWRU_AM_slice_ICMSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	Aorta
