source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
04142014_s5_r3_072	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s5_r3_072	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s5_r3_072.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s5_r3_072.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s2_r1_055	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s2_r1_055	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s2_r1_055.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s2_r1_055.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s13_r3_112	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s13_r3_112	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s13_r3_112.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s13_r3_112.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s8_r2_086	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s8_r2_086	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s8_r2_086.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s8_r2_086.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_MCis_T2_C	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	140521_EOC_MCis_T2_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_MCis_T2_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_MCis_T2_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s8_r3_087	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s8_r3_087	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s8_r3_087.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s8_r3_087.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s1_r3_052	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s1_r3_052	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s1_r3_052.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s1_r3_052.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s6_r3_077	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s6_r3_077	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s6_r3_077.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s6_r3_077.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s6_r2_076	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s6_r2_076	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s6_r2_076.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s6_r2_076.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s4_r1_065	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s4_r1_065	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s4_r1_065.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s4_r1_065.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
