source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Ecoli_11	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	11	QX1_20_0840.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	11	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_12	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	12	QX1_20_0806.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	12	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_13	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	13	QX1_20_0814.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	13	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_14	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	14	QX1_20_0641.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	14	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_15	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	15	QX1_20_0726.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	15	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_16	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	16	QX1_20_0770.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	16	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_17	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	17	QX1_20_0760.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	17	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_18	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	18	QX1_20_0822.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	18	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_19	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	19	QX1_20_0802.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	19	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_20	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	20	QX1_20_0730.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	20	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_21	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	21	QX1_20_0798.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	21	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_22	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	22	QX1_20_0930.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	22	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_23	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	23	QX1_20_0637.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	23	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
